City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (deg C)
366,harar,9.3094,42.1258,288.47,83,24,0.66,ET,1728598729,15.220000000000027
367,alo,6.5486,4.2686,298.11,90,73,1.89,NG,1728598730,24.860000000000014
368,lamu,-2.2717,40.902,297.99,86,3,6.57,KE,1728598731,24.74000000000001
369,praya,14.9215,-23.5087,299.45,89,75,4.63,CV,1728598732,26.19999999999999
370,pangkalanbuun,-2.6833,111.6167,297.1,98,99,0.76,ID,1728598734,23.850000000000023
371,freetown,8.484,-13.2299,297.22,95,100,3.11,SL,1728598735,23.970000000000027
372,san nicolas,18.1725,120.5953,297.1,94,20,1.54,PH,1728598736,23.850000000000023
373,santa elena de uairen,4.6167,-61.1333,297.63,56,99,1.01,VE,1728598737,24.379999999999995
374,beni,0.5,29.4667,289.57,99,70,1.08,CD,1728598738,16.319999999999993
375,berbera,10.4396,45.0143,302.41,73,0,2.64,SO,1728598739,29.160000000000025
376,ponnamaravati,10.3,78.55,297.2,91,100,2.33,IN,1728598740,23.94999999999999
377,dawei,14.0833,98.2,298.24,90,97,1.62,MM,1728598741,24.99000000000001
378,odienne,9.51,-7.5692,295.49,95,99,1.16,CI,1728598742,22.24000000000001
379,asosa,10.0667,34.5333,289.23,91,100,1.37,ET,1728598744,15.980000000000018
380,nova sintra,14.8667,-24.7167,299.6,80,15,12.47,CV,1728598745,26.350000000000023
381,tuineje,28.3237,-14.0472,296.03,88,5,0.82,ES,1728598746,22.779999999999973
382,plymouth,41.8334,-70.8328,286.85,60,0,4.12,US,1728598747,13.600000000000023
383,abbeville,50.1,1.8333,282.31,86,100,0.1,FR,1728598748,9.060000000000002
384,menaka,15.9182,2.4022,307.51,21,29,4.02,ML,1728598749,34.25999999999999
385,nguigmi,14.2495,13.1092,303.92,37,6,1.02,NE,1728598634,30.670000000000016
386,lazaro cardenas,17.9583,-102.2,301.42,77,66,2.65,MX,1728598751,28.170000000000016
387,la cruz,23.9167,-106.9,304.04,67,96,3.37,MX,1728598753,30.79000000000002
388,igreja,15.0333,-24.3333,294.54,84,46,7.55,CV,1728598754,21.29000000000002
389,kanuru,16.2858,81.2546,300.39,83,100,5.29,IN,1728598755,27.139999999999986
390,smara,26.7384,-11.6719,296.84,65,6,4.13,EH,1728598756,23.589999999999975
